"sec_idx","security","volatility","volatility_state","symbol","last_price","mu","sigma"
255,"KMI US Equity",0,0,"KMI",18.7,0.123512022849689,0.082128032382071
256,"KNX US Equity",0,0,"KNX",33.9,0.161399544477396,0.19235917930558
257,"KO US Equity",0,0,"KO",45.32,0.131387074955591,0.103851413933101
258,"KR US Equity",0,0,"KR",29.5,0.0839602296837951,0.104660661753661
259,"KSS US Equity",0,0,"KSS",66.0763,0.138823149747539,0.151535258408303
260,"LB US Equity",0,0,"LB",27.34,0.0963744945753238,0.23666170757686
261,"LEAF US Equity",0,0,"LEAF",8.27,0.718880351729268,0.206580400118782
262,"LEN US Equity",0,0,"LEN",49.07,0.152043957421892,0.146464244942451
263,"LITE US Equity",0,0,"LITE",46.1813,0.424534678992506,0.233090972420381
264,"LKQ US Equity",0,0,"LKQ",27.15,0.519680836369817,0.205172120158959
265,"LLY US Equity",0,0,"LLY",121.8,0.0053352515203847,0.106522618183212
266,"LM US Equity",0,0,"LM",30.58,-0.0527187087373994,0.12802880601947
267,"LMT US Equity",0,0,"LMT",307.05,0.0774872122529002,0.0764443181892187
268,"LNG US Equity",0,0,"LNG",66.22,0.169905582893383,0.0964820595867528
269,"LOGM US Equity",0,0,"LOGM",83.25,0.193672040610368,0.226228388972955
270,"LOW US Equity",0,0,"LOW",104.69,0.0511843277499461,0.090357491976968
271,"LOXO US Equity",0,0,"LOXO",234.8,-0.0350869181221916,0.0478229870419216
272,"LRCX US Equity",0,0,"LRCX",180.9,0.118102145777133,0.154141208806423
273,"LULU US Equity",0,0,"LULU",151.3,0.130639238152349,0.138015319351577
274,"LUV US Equity",0,0,"LUV",57.93,0.122217793986264,0.0778308566898761
275,"LVS US Equity",0,0,"LVS",60.31,0.0620889796710482,0.126297092478287
276,"M US Equity",0,0,"M",24.88,0.168171860326902,0.288538981943264
277,"MA US Equity",0,0,"MA",222.11,0.0704474457582979,0.0521024728071768
278,"MAR US Equity",0,0,"MAR",121.05,0.0469741705043367,0.105486669053335
279,"MAT US Equity",0,0,"MAT",13.85,0.00837185895559629,0.224221291775526
280,"MBI US Equity",0,0,"MBI",9.82,0.277774013623883,0.38374249234912
281,"MCD US Equity",0,0,"MCD",179.98,0.0993245351215225,0.0441187070711997
282,"MCO US Equity",0,0,"MCO",169.26,0.0121011805886059,0.0640525183813111
283,"MDCO US Equity",0,0,"MDCO",25,0.84181931501016,0.663934321222612
284,"MDLZ US Equity",0,0,"MDLZ",47.76,0.0546303742046211,0.0620718066035324
285,"MDR US Equity",0,0,"MDR",7.17,0.826916358191138,1.17513179025328
286,"MDRX US Equity",0,0,"MDRX",12.21,0.0469992609787926,0.152763185608803
287,"MDT US Equity",0,0,"MDT",92.4,0.142718280878215,0.0704188312115398
288,"MET US Equity",0,0,"MET",44.8,0.138782825830498,0.0809162817602057
289,"MGM US Equity",0,0,"MGM",28,0.202341245581589,0.151276147866837
290,"MHK US Equity",0,0,"MHK",139.21,0.0276268545818286,0.162029274648139
291,"MLCO US Equity",0,0,"MLCO",21.69,0.119246462978521,0.260897401131326
292,"MLM US Equity",0,0,"MLM",190.06,0.135820259058257,0.130436431556208
293,"MLNX US Equity",0,0,"MLNX",99,0.160790141960448,0.113092637775004
294,"MMM US Equity",0,0,"MMM",208.5,-0.0661459518902069,0.113230434854368
295,"MNST US Equity",0,0,"MNST",58.72,0.0622751358306714,0.12484809457774
296,"MO US Equity",0,0,"MO",48.85,0.162488684155446,0.161018382425572
297,"MPC US Equity",0,0,"MPC",65.01,0.379812771999179,0.195712833953282
298,"MRK US Equity",0,0,"MRK",79.84,0.0501287304060957,0.0758676490316206
299,"MRO US Equity",0,0,"MRO",17.0999,0.226307210625319,0.182329827361007
300,"MRVL US Equity",0,0,"MRVL",18.92,0.159310675772235,0.177090354856206
301,"MS US Equity",0,0,"MS",41.89,0.228397359854072,0.131555484189365
302,"MSFT US Equity",0,0,"MSFT",108.2,0.122781628777758,0.1462439746623
303,"MT US Equity",0,0,"MT",23.08,0.237568275598473,0.781341901594398
304,"MTCH US Equity",0,0,"MTCH",57.3,0.0470469957941631,0.119437870753462
305,"MTG US Equity",0,0,"MTG",13.1,0.205765717050752,0.191620041487612
306,"MU US Equity",0,0,"MU",42,0.200837712831509,0.371284063427474
307,"MYL US Equity",0,0,"MYL",32.22,0.229720980874573,0.178807005167375
308,"NBEV US Equity",0,0,"NBEV",6.52,0.348245752135429,0.499167094071532
309,"NBR US Equity",0,0,"NBR",3.2,0.775612606391892,0.869114016458519
310,"NCR US Equity",0,0,"NCR",27.7,0.1354232501434,0.163028938313738
311,"NEM US Equity",0,0,"NEM",33.46,0.1350008212798,0.164446698414241
312,"NFLX US Equity",0,0,"NFLX",357.21,0.167624968570009,0.157558702814267
313,"NGL US Equity",0,0,"NGL",13.72,0.0869074979873534,0.127965972593318
314,"NIO US Equity",0,0,"NIO",7.44,0.225304381243672,0.356311554526342
315,"NKE US Equity",0,0,"NKE",85.3,0.0274589834749307,0.110837253200032
316,"NKTR US Equity",0,0,"NKTR",42.48,0.554562724092101,0.65225282700682
317,"NLSN US Equity",0,0,"NLSN",26.3,0.0646142947344243,0.128021060763809
318,"NOC US Equity",0,0,"NOC",286.95,0.0921301221217107,0.0786867342495566
319,"NOK US Equity",0,0,"NOK",6.3,0.194918641411896,0.130347795805396
320,"NOW US Equity",0,0,"NOW",234.69,0.00522662139703584,0.0576838193571425
321,"NRG US Equity",0,0,"NRG",42.93,0.0527868312844726,0.112848614855679
322,"NSC US Equity",0,0,"NSC",189.89,0.0299948798069191,0.0749992140341972
323,"NTAP US Equity",0,0,"NTAP",64.03,0.260770176311709,0.174356271129902
324,"NTES US Equity",0,0,"NTES",228.89,0.191317744861682,0.117152346245253
325,"NTNX US Equity",0,0,"NTNX",53.75,0.168646597544273,0.171151930327698
326,"NTR US Equity",0,0,"NTR",53.44,0.198828031923986,0.124015593253694
327,"NUE US Equity",0,0,"NUE",59.97,0.110939711893329,0.148766861993111
328,"NVAX US Equity",0,0,"NVAX",2.13,0.809751490352396,1.26012963712339
329,"NVDA US Equity",0,0,"NVDA",157.26,0.0882688783215742,0.201491045008628
