,ISS-EVA,CASEY LEA,1st,60.608661,overweight,11/27/2018
,PERM DENIED,PERM DENIED,2nd,46.581489,neutral,2/6/2019
,"Morningstar, Inc",DAMIEN CONOVER,3rd,21.109711,sell,2/11/2019
,DZ Bank AG,ELMAR KRAUS,4th,11.08226,hold,2/7/2019
,BMO Capital Markets,ALEX ARFAEI,5th,7.357312,outperform,2/6/2019
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TSLA US Equity,Jefferies,PHILIPPE HOUCHOIS,1st,10.4303,buy,1/30/2019
,New Street Research,PIERRE FERRAGU,2nd,8.23695,buy,2/4/2019
,Cowen,JEFFREY OSBORNE,3rd,7.838294,underperform,2/15/2019
,DZ Bank AG,MATTHIAS VOLKERT,3rd,7.838294,sell,2/4/2019
,Nord/LB,FRANK SCHWOPE,3rd,7.838294,sell,2/1/2019
,J.P. Morgan,RYAN BRINKMAN,3rd,7.838294,underweight,1/31/2019
,Barclays,BRIAN JOHNSON,3rd,7.838294,underweight,1/31/2019
,PERM DENIED,PERM DENIED,3rd,7.838294,underperform,1/31/2019
,PERM DENIED,PERM DENIED,3rd,7.838294,sell,1/29/2019
,"Morningstar, Inc",DAVID WHISTON,4th,7.26489,sell,1/30/2019
,ISS-EVA,ANTHONY CAMPAGNA,5th,5.740439,sell,3/22/2018
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MSFT US Equity,Oppenheimer & Co,TIMOTHY HORAN,1st,18.27112,outperform,2/15/2019
,PERM DENIED,PERM DENIED,1st,18.27112,buy,2/14/2019
,Tigress Financial Partners,IVAN FEINSETH,1st,18.27112,buy,2/13/2019
,PERM DENIED,PERM DENIED,1st,18.27112,outperform,2/13/2019
,Edward Jones,JOSH OLSON,1st,18.27112,buy,2/13/2019
,Evercore ISI,STEWART MATERNE,1st,18.27112,outperform,2/9/2019
,Piper Jaffray,ALEX ZUKIN,1st,18.27112,overweight,2/8/2019
,Daiwa Securities,SATOSHI TANAKA,1st,18.27112,buy,2/7/2019
,William Blair & Co,JASON ADER,1st,18.27112,outperform,2/7/2019
,Stifel,BRAD REBACK,1st,18.27112,buy,2/4/2019
,Morgan Stanley,KEITH WEISS,1st,18.27112,Overwt/Attractive,1/31/2019
,Barclays,RAIMO LENSCHOW,1st,18.27112,overweight,1/31/2019
,Goldman Sachs,HEATHER BELLINI,1st,18.27112,buy/attractive,1/31/2019
,PERM DENIED,PERM DENIED,1st,18.27112,buy,1/31/2019
,Cross Research,SHANNON CROSS,1st,18.27112,buy,1/31/2019
,Raymond James,MICHAEL TURITS,1st,18.27112,strong buy,1/31/2019
,Griffin Securities,JAY VLEESCHHOUWER,1st,18.27112,buy,1/31/2019
,Wells Fargo Securities,PHILIP WINSLOW,1st,18.27112,outperform,1/31/2019
,BMO Capital Markets,KEITH BACHMAN,1st,18.27112,outperform,1/30/2019
,KeyBanc Capital Markets,BRENT BRACELIN,1st,18.27112,overweight,1/30/2019
,RBC Capital Markets,ROSS MACMILLAN,1st,18.27112,outperform,1/30/2019
,Nomura Instinet,CHRISTOPHER EBERLE,1st,18.27112,buy,1/30/2019
,Canaccord Genuity,RICHARD DAVIS,1st,18.27112,buy,1/30/2019
,Argus Research Corp,JOSEPH BONNER,1st,18.27112,buy,10/18/2018
,PERM DENIED,PERM DENIED,1st,18.27112,buy,7/20/2018
,"Ameriprise Advisor Services, I",CURTIS TRIMBLE,1st,18.27112,buy,4/27/2018
,Nord/LB,WOLFGANG DONIE,1st,18.27112,buy,4/15/2016
,DZ Bank AG,INGO WERMANN,2nd,17.205547,buy,2/1/2019
,J.P. Morgan,MARK MURPHY,3rd,14.37072,overweight,1/31/2019
,Credit Suisse,BRAD ZELNICK,4th,11.92934,outperform,2/15/2019
,ISS-EVA,ANTHONY CAMPAGNA,5th,2.680228,overweight,7/20/2018
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
T US Equity,MoffettNathanson,CRAIG MOFFETT,1st,4.190713,neutral,1/30/2019
,William Blair & Co,JAMES BREEN,2nd,0,market perform,2/14/2019
,Independent Research GmbH,MARKUS FRIEBEL,2nd,0,hold,2/8/2019
,Evercore ISI,VIJAY JAYANT,2nd,0,in-line,2/7/2019
,Scotiabank,JEFFREY FAN,2nd,0,sector perform,2/5/2019
,PERM DENIED,PERM DENIED,2nd,0,hold,1/31/2019
,RBC Capital Markets,JONATHAN ATKIN,2nd,0,sector perform,1/31/2019
,KeyBanc Capital Markets,BRANDON NISPEL,2nd,0,sector weight,1/30/2019
,SunTrust Robinson Humphrey,GREG MILLER,2nd,0,hold,1/30/2019
,ROE Equity Research,KEVIN ROE,2nd,0,hold,1/30/2019
,New Street Research,JONATHAN CHAPLIN,2nd,0,neutral,1/30/2019
,Goldman Sachs,BRETT FELDMAN,2nd,0,neutral/neutral,10/26/2018
,BTIG LLC,WALTER PIECYK,2nd,0,neutral,4/30/2018
,Oppenheimer & Co,TIMOTHY HORAN,3rd,-0.875717,outperform,2/15/2019
,PERM DENIED,PERM DENIED,4th,-1.722656,buy,1/30/2019
,Cowen,COLBY SYNESAEL,5th,-2.282345,outperform,1/30/2019
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
